LRID	Ligand_geneid	Ligand_Uniprot	ligand_symbol	Receptor_geneid	Receptor_Uniprot	Receptor_symbol	PMID	Database
LRH2551	3384	P13598	ICAM2	3689	P05107	ITGB2	15023143;98;9786897	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2852	3384	P13598	ICAM2	3684	P11215	ITGAM	10352278	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH4958	3384	P13598	ICAM2	3689_3684	P05107_P11215	ITGAM_ITGB2	15023143;10352278;9786897	CellChatDB;Cellinker;OmniPath
LRH5878	3384	P13598	ICAM2	3689_3683	P05107_P20701	ITGAL_ITGB2	15023143;25720421	CellChatDB;CellPhoneDB;Cellinker;OmniPath
LRH0050	3383	P05362	ICAM1	3687	P20702	ITGAX	4062888;7679388	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH1490	3383	P05362	ICAM1	857	Q03135	CAV1	32196115	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRH2193	3383	P05362	ICAM1	4582	P15941	MUC1	22866263	CellTalkDB;OmniPath
LRH2327	3383	P05362	ICAM1	3559	P01589	IL2RA	1976256	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2328	3383	P05362	ICAM1	3561	P31785	IL2RG	1976256	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;iTALK;talklr;OmniPath
LRH2410	3383	P05362	ICAM1	1956	P00533	EGFR	16799092	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;iTALK;talklr;OmniPath
LRH2753	3383	P05362	ICAM1	3684	P11215	ITGAM	11073102;95;9488691	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH4622	3383	P05362	ICAM1	7412	P19320	VCAM1	16601240	Cellinker;OmniPath
LRH4770	3383	P05362	ICAM1	7430	P15311	EZR	16546130;12082081;9705328	Cellinker;OmniPath
LRH4771	3383	P05362	ICAM1	4478	P26038	MSN	12082081	Cellinker;OmniPath
LRH4872	3383	P05362	ICAM1	3689_3684	P05107_P11215	ITGAM_ITGB2	11073102;11279101;9488691;7642561;14507735;16252253	CellChatDB;Cellinker;OmniPath
LRH5315	3383	P05362	ICAM1	6693	P16150	SPN	1683685;1433960	CellChatDB;CellTalkDB;Cellinker;SingleCellSignalR;connectomeDB2020;OmniPath
LRH5322	3383	P05362	ICAM1	3689_3687	P05107_P20702	ITGAX_ITGB2	4062888;16252253	CellChatDB;Cellinker;OmniPath
LRH6066	3383	P05362	ICAM1	3689_3683	P05107_P20701	ITGAL_ITGB2	23602662;14507735;16988024	CellChatDB;Cellinker;OmniPath
LRH6094	3383	P05362	ICAM1	3689_3681	P05107_Q13349	ITGAD_ITGB2	16988024	OmniPath
LRH1042	3381	P21815	IBSP	3690	P05106	ITGB3	32196115;10785511	CellTalkDB;SingleCellSignalR;OmniPath
LRH1337	3381	P21815	IBSP	3685	P06756	ITGAV	32196115	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
