LRID	Ligand_geneid	Ligand_Uniprot	ligand_symbol	Receptor_geneid	Receptor_Uniprot	Receptor_symbol	PMID	Database
LRM3529	12824	P28481	Col2a1	52855	Q8BG84	Lair1	16754721	Cellinker;OmniPath
LRM0616	12824	P28481	Col2a1	21933	Q9QZM4	Tnfrsf10b	9811967	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM5724	12824	P28481	Col2a1	20971	O35988	Sdc4		CellChatDB;OmniPath
LRM5744	12824	P28481	Col2a1	20969	P18828	Sdc1		CellChatDB;OmniPath
LRM2429	12824	P28481	Col2a1	18214	Q62371	Ddr2	9659900	Cellinker;OmniPath
LRM4430	12824	P28481	Col2a1	17136	P20917	Mag	2446864	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM3611	12824	P28481	Col2a1	17064	O89103	Cd93	1377218	Cellinker;OmniPath
LRM0692	12824	P28481	Col2a1	16412	P09055	Itgb1	7688313;9685391;969	CellTalkDB;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM2305	12824	P28481	Col2a1	16399	Q9QUM0	Itga2b	10772239;7520045;75	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;iTALK;talklr;OmniPath
LRM0690	12824	P28481	Col2a1	16398	Q62469	Itga2	7688313	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM6022	12824	P28481	Col2a1	12505	P15379	Cd44		CellChatDB;OmniPath
LRM4122	12824	P28481	Col2a1	12305	Q03146	Ddr1	9659900	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM3528	12825	P08121	Col3a1	52855	Q8BG84	Lair1	16754721	Cellinker;OmniPath
LRM3423	12825	P08121	Col3a1	20969	P18828	Sdc1	1969657	Cellinker;OmniPath
LRM4125	12825	P08121	Col3a1	18214	Q62371	Ddr2	9659899;9659900	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4429	12825	P08121	Col3a1	17136	P20917	Mag	2446864	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM3610	12825	P08121	Col3a1	17064	O89103	Cd93	1377218	Cellinker;OmniPath
LRM2122	12825	P08121	Col3a1	16412	P09055	Itgb1	14970208	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRM2123	12825	P08121	Col3a1	16398	Q62469	Itga2	14970208	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRM4124	12825	P08121	Col3a1	12305	Q03146	Ddr1	21044884;9659900;22483115	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM0780	12313	P0DP28	Calm3	15366	Q00547	Hmmr	10547355;32196115	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRM0756	12313	P0DP26	Calm1	14652	O35659	Glp1r	15670850;32196115	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRM0755	12313	P0DP27	Calm2	14652	O35659	Glp1r	15670850;32196115	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRM0704	12826	P02463	Col4a1	320910	Q0VBD0	Itgb8	7542940	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM5887	12826	P02463	Col4a1	243816	P0C191	Gp6		CellChatDB;OmniPath
LRM0678	12826	P02463	Col4a1	109700	Q3V3R4	Itga1	8223488	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM5723	12826	P02463	Col4a1	20971	O35988	Sdc4		CellChatDB;OmniPath
LRM5743	12826	P02463	Col4a1	20969	P18828	Sdc1		CellChatDB;OmniPath
LRM2428	12826	P02463	Col4a1	18214	Q62371	Ddr2	9659900	Cellinker;OmniPath
LRM4753	12826	P02463	Col4a1	17064	O89103	Cd93	1377218	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM1372	12826	P02463	Col4a1	16423	Q61735	Cd47	32196115	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRM0677	12826	P02463	Col4a1	16412	P09055	Itgb1	8223488	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM2136	12826	P02463	Col4a1	16410	P43406	Itgav	14610079	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM2344	12826	P02463	Col4a1	16398	Q62469	Itga2	10381815	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRM6021	12826	P02463	Col4a1	12505	P15379	Cd44		CellChatDB;OmniPath
LRM2438	12826	P02463	Col4a1	12305	Q03146	Ddr1	9659900	Cellinker;OmniPath
LRM5886	12827	P08122	Col4a2	243816	P0C191	Gp6		CellChatDB;OmniPath
LRM5722	12827	P08122	Col4a2	20971	O35988	Sdc4		CellChatDB;OmniPath
LRM5742	12827	P08122	Col4a2	20969	P18828	Sdc1		CellChatDB;OmniPath
LRM2427	12827	P08122	Col4a2	18214	Q62371	Ddr2	9659900	Cellinker;OmniPath
LRM4752	12827	P08122	Col4a2	17064	O89103	Cd93	1377218	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM1093	12827	P08122	Col4a2	16419	O70309	Itgb5	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1101	12827	P08122	Col4a2	16416	O54890	Itgb3	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM6020	12827	P08122	Col4a2	12505	P15379	Cd44		CellChatDB;OmniPath
LRM2437	12827	P08122	Col4a2	12305	Q03146	Ddr1	9659900	Cellinker;OmniPath
LRM6314	12828	Q9QZS0	Col4a3	16410_320910	P43406_Q0VBD0	Itgav_Itgb8	12842087;14610079	Cellinker
LRM5885	12828	Q9QZS0	Col4a3	243816	P0C191	Gp6		CellChatDB;OmniPath
LRM1207	12828	Q9QZS0	Col4a3	109700	Q3V3R4	Itga1	32196115	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRM5721	12828	Q9QZS0	Col4a3	20971	O35988	Sdc4		CellChatDB;OmniPath
LRM5741	12828	Q9QZS0	Col4a3	20969	P18828	Sdc1		CellChatDB;OmniPath
LRM2426	12828	Q9QZS0	Col4a3	18214	Q62371	Ddr2	9659900	Cellinker;OmniPath
LRM4751	12828	Q9QZS0	Col4a3	17064	O89103	Cd93	1377218	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM2340	12828	Q9QZS0	Col4a3	16423	Q61735	Cd47	10493512	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM3597	12828	Q9QZS0	Col4a3	16419	O70309	Itgb5	14610079	Cellinker;OmniPath
LRM2160	12828	Q9QZS0	Col4a3	16416	O54890	Itgb3	12842087;14610079	CellTalkDB;Cellinker;SingleCellSignalR;OmniPath
LRM1133	12828	Q9QZS0	Col4a3	16412	P09055	Itgb1	32196115	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRM2159	12828	Q9QZS0	Col4a3	16410	P43406	Itgav	12842087	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM1175	12828	Q9QZS0	Col4a3	16400	Q62470	Itga3	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1192	12828	Q9QZS0	Col4a3	16398	Q62469	Itga2	32196115	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRM6019	12828	Q9QZS0	Col4a3	12505	P15379	Cd44		CellChatDB;OmniPath
LRM2436	12828	Q9QZS0	Col4a3	12305	Q03146	Ddr1	9659900	Cellinker;OmniPath
LRM5884	12829	Q9QZR9	Col4a4	243816	P0C191	Gp6		CellChatDB;OmniPath
